Description for merged_1008.mat
=====================================
Link: Bristol ↔ BDFI, bidirectional, daily acquisition.
Sampling rate: 97656.250 Hz (Ts=1.024000e-05 s)
Total samples: 26853376
Blocks: 1639

Each CSV contains: Time (datetime), S1, S2, S3 (Stokes parameters).

Blocks overview:
  Block    1: 0001_PM1000_20251008_171228_2025-10-08_19-23-04.mat.csv | samples=16384 | start=2025/09/27 05:36:24.152598000 | end=2025/09/27 05:36:24.320359919
  Block    2: 0002_PM1000_20251006_105301_2025-10-08_00-00-13.mat.csv | samples=16384 | start=2025/10/08 00:00:10.125719000 | end=2025/10/08 00:00:10.293480920
  Block    3: 0003_PM1000_20251006_105301_2025-10-08_00-01-02.mat.csv | samples=16384 | start=2025/10/08 00:00:59.082522000 | end=2025/10/08 00:00:59.250283920
  Block    4: 0004_PM1000_20251006_105301_2025-10-08_00-01-51.mat.csv | samples=16384 | start=2025/10/08 00:01:47.984589000 | end=2025/10/08 00:01:48.152350920
  Block    5: 0005_PM1000_20251006_105301_2025-10-08_00-02-40.mat.csv | samples=16384 | start=2025/10/08 00:02:36.816640000 | end=2025/10/08 00:02:36.984401920
  Block    6: 0006_PM1000_20251006_105301_2025-10-08_00-03-29.mat.csv | samples=16384 | start=2025/10/08 00:03:25.668552000 | end=2025/10/08 00:03:25.836313920
  Block    7: 0007_PM1000_20251006_105301_2025-10-08_00-04-18.mat.csv | samples=16384 | start=2025/10/08 00:04:14.683890000 | end=2025/10/08 00:04:14.851651920
  Block    8: 0008_PM1000_20251006_105301_2025-10-08_00-05-07.mat.csv | samples=16384 | start=2025/10/08 00:05:03.401711000 | end=2025/10/08 00:05:03.569472920
  Block    9: 0009_PM1000_20251006_105301_2025-10-08_00-05-56.mat.csv | samples=16384 | start=2025/10/08 00:05:52.397294000 | end=2025/10/08 00:05:52.565055920
  Block   10: 0010_PM1000_20251006_105301_2025-10-08_00-06-44.mat.csv | samples=16384 | start=2025/10/08 00:06:41.231419000 | end=2025/10/08 00:06:41.399180920
  Block   11: 0011_PM1000_20251006_105301_2025-10-08_00-07-35.mat.csv | samples=16384 | start=2025/10/08 00:07:31.400161000 | end=2025/10/08 00:07:31.567922920
  Block   12: 0012_PM1000_20251006_105301_2025-10-08_00-08-26.mat.csv | samples=16384 | start=2025/10/08 00:08:22.621942000 | end=2025/10/08 00:08:22.789703920
  Block   13: 0013_PM1000_20251006_105301_2025-10-08_00-09-15.mat.csv | samples=16384 | start=2025/10/08 00:09:11.788120000 | end=2025/10/08 00:09:11.955881920
  Block   14: 0014_PM1000_20251006_105301_2025-10-08_00-10-04.mat.csv | samples=16384 | start=2025/10/08 00:10:00.875984000 | end=2025/10/08 00:10:01.043745920
  Block   15: 0015_PM1000_20251006_105301_2025-10-08_00-10-53.mat.csv | samples=16384 | start=2025/10/08 00:10:50.025563000 | end=2025/10/08 00:10:50.193324919
  Block   16: 0016_PM1000_20251006_105301_2025-10-08_00-11-42.mat.csv | samples=16384 | start=2025/10/08 00:11:38.823246000 | end=2025/10/08 00:11:38.991007920
  Block   17: 0017_PM1000_20251006_105301_2025-10-08_00-12-31.mat.csv | samples=16384 | start=2025/10/08 00:12:27.460774000 | end=2025/10/08 00:12:27.628535920
  Block   18: 0018_PM1000_20251006_105301_2025-10-08_00-13-20.mat.csv | samples=16384 | start=2025/10/08 00:13:16.485186000 | end=2025/10/08 00:13:16.652947919
  Block   19: 0019_PM1000_20251006_105301_2025-10-08_00-14-09.mat.csv | samples=16384 | start=2025/10/08 00:14:05.390462000 | end=2025/10/08 00:14:05.558223920
  Block   20: 0020_PM1000_20251006_105301_2025-10-08_00-14-58.mat.csv | samples=16384 | start=2025/10/08 00:14:54.481172000 | end=2025/10/08 00:14:54.648933920
  Block   21: 0021_PM1000_20251006_105301_2025-10-08_00-15-47.mat.csv | samples=16384 | start=2025/10/08 00:15:44.094766000 | end=2025/10/08 00:15:44.262527919
  Block   22: 0022_PM1000_20251006_105301_2025-10-08_00-16-36.mat.csv | samples=16384 | start=2025/10/08 00:16:32.847259000 | end=2025/10/08 00:16:33.015020920
  Block   23: 0023_PM1000_20251006_105301_2025-10-08_00-17-25.mat.csv | samples=16384 | start=2025/10/08 00:17:21.883264000 | end=2025/10/08 00:17:22.051025920
  Block   24: 0024_PM1000_20251006_105301_2025-10-08_00-18-14.mat.csv | samples=16384 | start=2025/10/08 00:18:10.760087000 | end=2025/10/08 00:18:10.927848920
  Block   25: 0025_PM1000_20251006_105301_2025-10-08_00-19-03.mat.csv | samples=16384 | start=2025/10/08 00:18:59.589809000 | end=2025/10/08 00:18:59.757570920
  Block   26: 0026_PM1000_20251006_105301_2025-10-08_00-19-52.mat.csv | samples=16384 | start=2025/10/08 00:19:48.474513000 | end=2025/10/08 00:19:48.642274920
  Block   27: 0027_PM1000_20251006_105301_2025-10-08_00-20-41.mat.csv | samples=16384 | start=2025/10/08 00:20:37.579682000 | end=2025/10/08 00:20:37.747443920
  Block   28: 0028_PM1000_20251006_105301_2025-10-08_00-21-30.mat.csv | samples=16384 | start=2025/10/08 00:21:26.546527000 | end=2025/10/08 00:21:26.714288920
  Block   29: 0029_PM1000_20251006_105301_2025-10-08_00-22-19.mat.csv | samples=16384 | start=2025/10/08 00:22:15.360311000 | end=2025/10/08 00:22:15.528072919
  Block   30: 0030_PM1000_20251006_105301_2025-10-08_00-23-07.mat.csv | samples=16384 | start=2025/10/08 00:23:04.149451000 | end=2025/10/08 00:23:04.317212920
  Block   31: 0031_PM1000_20251006_105301_2025-10-08_00-23-56.mat.csv | samples=16384 | start=2025/10/08 00:23:53.000148000 | end=2025/10/08 00:23:53.167909920
  Block   32: 0032_PM1000_20251006_105301_2025-10-08_00-24-45.mat.csv | samples=16384 | start=2025/10/08 00:24:41.696501000 | end=2025/10/08 00:24:41.864262920
  Block   33: 0033_PM1000_20251006_105301_2025-10-08_00-25-34.mat.csv | samples=16384 | start=2025/10/08 00:25:30.541588000 | end=2025/10/08 00:25:30.709349920
  Block   34: 0034_PM1000_20251006_105301_2025-10-08_00-26-23.mat.csv | samples=16384 | start=2025/10/08 00:26:19.511695000 | end=2025/10/08 00:26:19.679456920
  Block   35: 0035_PM1000_20251006_105301_2025-10-08_00-27-11.mat.csv | samples=16384 | start=2025/10/08 00:27:08.181681000 | end=2025/10/08 00:27:08.349442920
  Block   36: 0036_PM1000_20251006_105301_2025-10-08_00-28-00.mat.csv | samples=16384 | start=2025/10/08 00:27:56.928756000 | end=2025/10/08 00:27:57.096517919
  Block   37: 0037_PM1000_20251006_105301_2025-10-08_00-28-49.mat.csv | samples=16384 | start=2025/10/08 00:28:45.878147000 | end=2025/10/08 00:28:46.045908920
