Description for 1011.mat
=====================================
Link: Bristol ↔ BDFI, bidirectional, daily acquisition.
Sampling rate: 97656.250 Hz (Ts=1.024000e-05 s)
Total samples: 13910016
Blocks: 849

Each CSV contains: Time (datetime), S1, S2, S3 (Stokes parameters).

Blocks overview:
  Block    1: 0001_PM1000_20251011_111803_2025-10-11_11-19-13.mat.csv | samples=16384 | start=2025/10/11 11:19:12.795366000 | end=2025/10/11 11:19:12.963127920
  Block    2: 0002_PM1000_20251011_111803_2025-10-11_11-21-06.mat.csv | samples=16384 | start=2025/10/11 11:20:02.549420000 | end=2025/10/11 11:20:02.717181920
  Block    3: 0003_PM1000_20251011_111803_2025-10-11_11-22-58.mat.csv | samples=16384 | start=2025/10/11 11:21:54.576540000 | end=2025/10/11 11:21:54.744301920
  Block    4: 0004_PM1000_20251011_111803_2025-10-11_11-23-49.mat.csv | samples=16384 | start=2025/10/11 11:23:46.967890000 | end=2025/10/11 11:23:47.135651919
  Block    5: 0005_PM1000_20251011_111803_2025-10-11_11-25-41.mat.csv | samples=16384 | start=2025/10/11 11:24:38.152898000 | end=2025/10/11 11:24:38.320659920
  Block    6: 0006_PM1000_20251011_111803_2025-10-11_11-26-32.mat.csv | samples=16384 | start=2025/10/11 11:26:30.508397000 | end=2025/10/11 11:26:30.676158920
  Block    7: 0007_PM1000_20251011_111803_2025-10-11_11-28-25.mat.csv | samples=16384 | start=2025/10/11 11:27:22.327175000 | end=2025/10/11 11:27:22.494936920
  Block    8: 0008_PM1000_20251011_111803_2025-10-11_11-29-18.mat.csv | samples=16384 | start=2025/10/11 11:29:16.377938000 | end=2025/10/11 11:29:16.545699920
  Block    9: 0009_PM1000_20251011_111803_2025-10-11_11-30-11.mat.csv | samples=16384 | start=2025/10/11 11:30:09.512177000 | end=2025/10/11 11:30:09.679938920
  Block   10: 0010_PM1000_20251011_111803_2025-10-11_11-32-05.mat.csv | samples=16384 | start=2025/10/11 11:31:01.840238000 | end=2025/10/11 11:31:02.007999920
  Block   11: 0011_PM1000_20251011_111803_2025-10-11_11-33-57.mat.csv | samples=16384 | start=2025/10/11 11:32:54.027100000 | end=2025/10/11 11:32:54.194861920
  Block   12: 0012_PM1000_20251011_111803_2025-10-11_11-34-49.mat.csv | samples=16384 | start=2025/10/11 11:34:46.569335000 | end=2025/10/11 11:34:46.737096920
  Block   13: 0013_PM1000_20251011_111803_2025-10-11_11-35-40.mat.csv | samples=16384 | start=2025/10/11 11:35:38.092204000 | end=2025/10/11 11:35:38.259965919
  Block   14: 0014_PM1000_20251011_111803_2025-10-11_11-36-32.mat.csv | samples=16384 | start=2025/10/11 11:36:29.610286000 | end=2025/10/11 11:36:29.778047920
  Block   15: 0015_PM1000_20251011_111803_2025-10-11_11-38-24.mat.csv | samples=16384 | start=2025/10/11 11:37:21.082681000 | end=2025/10/11 11:37:21.250442920
  Block   16: 0016_PM1000_20251011_111803_2025-10-11_11-39-16.mat.csv | samples=16384 | start=2025/10/11 11:39:13.586383000 | end=2025/10/11 11:39:13.754144920
