Timestamp,OPR-OCH,PREBER Value,QAVG Value
['12-26 01-53'],[-17.2],3.7e-07,13.9
['12-26 01-53'],[-17.2],3.8e-07,13.89
['12-26 01-54'],[-17.2],3.8e-07,13.89
['12-26 01-54'],[-17.2],3.7e-07,13.89
['12-26 01-54'],[-17.3],3.9e-07,13.88
['12-26 01-54'],[-17.2],3.9e-07,13.88
['12-26 01-54'],[-17.2],3.9e-07,13.88
['12-26 01-54'],[-17.2],3.8e-07,13.89
['12-26 01-54'],[-17.2],3.9e-07,13.88
['12-26 01-54'],[-17.2],3.8e-07,13.89
['12-26 01-54'],[-17.2],3.8e-07,13.89
['12-26 01-55'],[-17.2],3.8e-07,13.89
['12-26 01-55'],[-17.2],3.7e-07,13.89
['12-26 01-55'],[-17.2],3.8e-07,13.89
['12-26 01-55'],[-17.2],3.8e-07,13.89
['12-26 01-55'],[-17.2],3.8e-07,13.89
['12-26 01-55'],[-17.2],3.8e-07,13.89
['12-26 01-55'],[-17.2],3.8e-07,13.89
['12-26 01-55'],[-17.2],3.9e-07,13.88
['12-26 01-55'],[-17.2],3.9e-07,13.88
['12-26 01-56'],[-17.2],3.9e-07,13.88
['12-26 01-56'],[-17.2],3.9e-07,13.88
['12-26 01-56'],[-17.2],3.9e-07,13.88
['12-26 01-56'],[-17.2],3.9e-07,13.88
['12-26 01-56'],[-17.2],3.9e-07,13.88
['12-26 01-56'],[-17.2],3.9e-07,13.88
['12-26 01-56'],[-17.2],3.9e-07,13.88
['12-26 01-56'],[-17.3],3.9e-07,13.88
['12-26 01-57'],[-17.2],3.9e-07,13.88
['12-26 01-57'],[-17.3],3.9e-07,13.88
['12-26 01-57'],[-17.2],3.9e-07,13.88
['12-26 01-57'],[-17.2],4e-07,13.87
['12-26 01-57'],[-17.2],3.9e-07,13.88
['12-26 01-57'],[-17.2],3.9e-07,13.88
['12-26 01-57'],[-17.2],3.9e-07,13.88
['12-26 01-57'],[-17.2],3.9e-07,13.88
['12-26 01-57'],[-17.2],3.9e-07,13.88
['12-26 01-58'],[-17.2],3.9e-07,13.88
['12-26 01-58'],[-17.2],3.9e-07,13.88
['12-26 01-58'],[-17.2],3.9e-07,13.88
['12-26 01-58'],[-17.2],3.8e-07,13.88
['12-26 01-58'],[-17.2],3.9e-07,13.88
['12-26 01-58'],[-17.2],3.8e-07,13.89
['12-26 01-58'],[-17.2],3.8e-07,13.89
['12-26 01-58'],[-17.2],3.8e-07,13.89
