Description for merged_1007.mat
=====================================
Link: Bristol ↔ BDFI, bidirectional, daily acquisition.
Sampling rate: 97656.250 Hz (Ts=1.024000e-05 s)
Total samples: 24707072
Blocks: 1508

Each CSV contains: Time (datetime), S1, S2, S3 (Stokes parameters).

Blocks overview:
  Block    1: 0001_PM1000_20251006_105301_2025-10-07_00-00-12.mat.csv | samples=16384 | start=2025/10/07 00:00:09.665785000 | end=2025/10/07 00:00:09.833546920
  Block    2: 0002_PM1000_20251006_105301_2025-10-07_00-01-03.mat.csv | samples=16384 | start=2025/10/07 00:01:00.347837000 | end=2025/10/07 00:01:00.515598920
  Block    3: 0003_PM1000_20251006_105301_2025-10-07_00-02-52.mat.csv | samples=16384 | start=2025/10/07 00:01:51.241541000 | end=2025/10/07 00:01:51.409302919
  Block    4: 0004_PM1000_20251006_105301_2025-10-07_00-03-43.mat.csv | samples=16384 | start=2025/10/07 00:03:41.012524000 | end=2025/10/07 00:03:41.180285920
  Block    5: 0005_PM1000_20251006_105301_2025-10-07_00-04-34.mat.csv | samples=16384 | start=2025/10/07 00:04:31.412097000 | end=2025/10/07 00:04:31.579858920
  Block    6: 0006_PM1000_20251006_105301_2025-10-07_00-05-24.mat.csv | samples=16384 | start=2025/10/07 00:05:21.991663000 | end=2025/10/07 00:05:22.159424920
  Block    7: 0007_PM1000_20251006_105301_2025-10-07_00-06-15.mat.csv | samples=16384 | start=2025/10/07 00:06:12.666154000 | end=2025/10/07 00:06:12.833915920
  Block    8: 0008_PM1000_20251006_105301_2025-10-07_00-07-05.mat.csv | samples=16384 | start=2025/10/07 00:07:03.281908000 | end=2025/10/07 00:07:03.449669920
  Block    9: 0009_PM1000_20251006_105301_2025-10-07_00-07-56.mat.csv | samples=16384 | start=2025/10/07 00:07:53.818774000 | end=2025/10/07 00:07:53.986535920
  Block   10: 0010_PM1000_20251006_105301_2025-10-07_00-08-47.mat.csv | samples=16384 | start=2025/10/07 00:08:44.415848000 | end=2025/10/07 00:08:44.583609920
  Block   11: 0011_PM1000_20251006_105301_2025-10-07_00-09-37.mat.csv | samples=16384 | start=2025/10/07 00:09:34.928303000 | end=2025/10/07 00:09:35.096064920
  Block   12: 0012_PM1000_20251006_105301_2025-10-07_00-11-27.mat.csv | samples=16384 | start=2025/10/07 00:10:25.588693000 | end=2025/10/07 00:10:25.756454920
  Block   13: 0013_PM1000_20251006_105301_2025-10-07_00-12-17.mat.csv | samples=16384 | start=2025/10/07 00:12:15.056892000 | end=2025/10/07 00:12:15.224653920
  Block   14: 0014_PM1000_20251006_105301_2025-10-07_00-13-08.mat.csv | samples=16384 | start=2025/10/07 00:13:05.828391000 | end=2025/10/07 00:13:05.996152920
  Block   15: 0015_PM1000_20251006_105301_2025-10-07_00-13-59.mat.csv | samples=16384 | start=2025/10/07 00:13:56.531896000 | end=2025/10/07 00:13:56.699657920
  Block   16: 0016_PM1000_20251006_105301_2025-10-07_00-14-49.mat.csv | samples=16384 | start=2025/10/07 00:14:47.075970000 | end=2025/10/07 00:14:47.243731920
  Block   17: 0017_PM1000_20251006_105301_2025-10-07_00-15-40.mat.csv | samples=16384 | start=2025/10/07 00:15:37.783444000 | end=2025/10/07 00:15:37.951205920
  Block   18: 0018_PM1000_20251006_105301_2025-10-07_00-16-31.mat.csv | samples=16384 | start=2025/10/07 00:16:28.449801000 | end=2025/10/07 00:16:28.617562920
  Block   19: 0019_PM1000_20251006_105301_2025-10-07_00-17-22.mat.csv | samples=16384 | start=2025/10/07 00:17:19.436372000 | end=2025/10/07 00:17:19.604133920
  Block   20: 0020_PM1000_20251006_105301_2025-10-07_00-18-12.mat.csv | samples=16384 | start=2025/10/07 00:18:10.126321999 | end=2025/10/07 00:18:10.294083920
  Block   21: 0021_PM1000_20251006_105301_2025-10-07_00-19-03.mat.csv | samples=16384 | start=2025/10/07 00:19:00.799763000 | end=2025/10/07 00:19:00.967524920
  Block   22: 0022_PM1000_20251006_105301_2025-10-07_00-20-53.mat.csv | samples=16384 | start=2025/10/07 00:19:51.363282000 | end=2025/10/07 00:19:51.531043920
  Block   23: 0023_PM1000_20251006_105301_2025-10-07_00-21-43.mat.csv | samples=16384 | start=2025/10/07 00:21:41.162538000 | end=2025/10/07 00:21:41.330299919
  Block   24: 0024_PM1000_20251006_105301_2025-10-07_00-22-34.mat.csv | samples=16384 | start=2025/10/07 00:22:31.865219000 | end=2025/10/07 00:22:32.032980919
  Block   25: 0025_PM1000_20251006_105301_2025-10-07_00-23-25.mat.csv | samples=16384 | start=2025/10/07 00:23:22.468260000 | end=2025/10/07 00:23:22.636021920
  Block   26: 0026_PM1000_20251006_105301_2025-10-07_00-24-15.mat.csv | samples=16384 | start=2025/10/07 00:24:13.050416000 | end=2025/10/07 00:24:13.218177920
  Block   27: 0027_PM1000_20251006_105301_2025-10-07_00-26-05.mat.csv | samples=16384 | start=2025/10/07 00:25:03.476603000 | end=2025/10/07 00:25:03.644364920
  Block   28: 0028_PM1000_20251006_105301_2025-10-07_00-26-55.mat.csv | samples=16384 | start=2025/10/07 00:26:53.063045000 | end=2025/10/07 00:26:53.230806920
  Block   29: 0029_PM1000_20251006_105301_2025-10-07_00-27-46.mat.csv | samples=16384 | start=2025/10/07 00:27:43.794065000 | end=2025/10/07 00:27:43.961826920
  Block   30: 0030_PM1000_20251006_105301_2025-10-07_00-28-36.mat.csv | samples=16384 | start=2025/10/07 00:28:34.283880000 | end=2025/10/07 00:28:34.451641920
  Block   31: 0031_PM1000_20251006_105301_2025-10-07_00-30-26.mat.csv | samples=16384 | start=2025/10/07 00:29:25.017389000 | end=2025/10/07 00:29:25.185150920
  Block   32: 0032_PM1000_20251006_105301_2025-10-07_00-31-17.mat.csv | samples=16384 | start=2025/10/07 00:31:14.744850000 | end=2025/10/07 00:31:14.912611920
