Time,payload_data_bbmod1_temp3 5G,payload_data_bbmod1_temp1 5G,payload_data_bbmod1_temp2 5G,Total 5G Cell Uplink Traffic,Total 5G Cell Downlink Traffic,payload_data_rmod_power 5G,inactiveTime_CPE3_WiFi,inactiveTime_CPE1_WiFi,inactiveTime_CPE2_WiFi,inactiveTime_CPE4_WiFi,rxBytes_CPE1_WiFi,rxBytes_CPE4_WiFi,txBytes_CPE4_WiFi,txBytes_CPE2_WiFi,rxBytes_CPE2_WiFi,rxBytes_CPE3_WiFi,txBytes_CPE1_WiFi,txBytes_CPE3_WiFi,signalAvg_CPE2_WiFi,signalAvg_CPE3_WiFi,signalAvg_CPE1_WiFi,signalAvg_CPE4_WiFi,txBytes_CPE4_LiFi,rxBytes_CPE4_LiFi,signal_CPE4_LiFi,trans_CPE4_lifi,recv_CPE1_5G,trans_CPE1_5G,trans_CPE2_5G,recv_CPE1_wifi,recv_CPE4_wifi,recv_CPE2_5G,trans_CPE3_5G,recv_CPE3_5G,recv_CPE4_5G,recv_CPE2_wifi,recv_CPE4_lifi,trans_CPE4_5G,trans_CPE4_wifi,trans_CPE2_wifi,trans_CPE3_wifi,recv_CPE3_wifi,trans_CPE1_wifi
2024-10-18 20:21:30,61.5,64.8,45.6,55.8,0.624,41.7,25.3,6.67,6.17,4.33,39.2,0.000177,144.0,0.692,42.6,6.42,20.2,0.207,112.0,114.0,110.0,116.0,0.00875,21.3,-51.0,1.75,0.0,0.0,46.8,0.809,161.0,0.306,5.05,0.119,0.0,0.489,0.00048,0.0,0.0,42.8,7.3,0.276,44.6
2024-10-18 20:22:00,67.0,44.4,64.5,56.8,0.538,41.7,15.7,136.0,2.33,10.0,24.2,0.000166,99.2,18.7,29.1,6.07,0.464,2.0,112.0,114.0,111.0,115.0,0.0082899999999999,20.2,-51.1,20.9,0.0,0.0,11.1,0.00846,11.5,0.206,5.54,0.0486,0.0,21.1,0.00048,0.0,0.0,10.1,6.06,24.5,0.157
2024-10-18 20:22:30,52.4,54.8,65.8,16.9,0.222,42.5,3.33,100.0,3.33,76.7,33.3,3.26e-05,8.05,24.6,11.8,7.55,0.39,55.9,112.0,113.0,111.0,116.0,0.00893,21.3,-51.0,21.4,0.0,0.0,9.76,0.788,0.0116,0.19,14.0,0.258,0.0,61.5,0.00048,0.0,0.0,11.9,25.8,81.5,58.9
2024-10-18 20:23:00,64.3,61.6,64.8,22.6,0.387,42.5,3.0,4.5,4.67,269.0,50.9,0.000223,0.0096099999999999,49.2,13.5,20.8,0.694,121.0,112.0,114.0,110.0,118.0,0.0095299999999999,53.4,-51.2,100.0,0.0,0.0,7.39,0.89,0.0108,0.167,32.4,0.288,0.0,43.4,0.00048,0.0,0.0,15.3,7.38,129.0,37.6
2024-10-18 20:23:30,59.6,53.2,62.4,23.9,0.308,42.4,3.67,4.67,5.57,109.0,54.2,6.49,0.199,36.9,10.8,20.9,49.9,87.7,112.0,114.0,110.0,114.0,0.214,52.1,-50.7,81.4,0.0,0.0,0.0,93.1,0.504,0.0,43.7,0.465,0.148,93.2,0.319,7.17,15.6,1.15,43.0,17.9,17.6
2024-10-18 20:24:00,58.4,66.0,60.5,50.7,0.489,42.2,3.65,2.78,2.83,136.0,72.5,6.36,0.214,55.9,8.41,22.1,51.9,72.0,112.0,113.0,110.0,115.0,0.189,33.2,-50.4,0.169,0.0,0.0,0.0,21.0,0.0108,0.0,0.1,0.00102,0.0,0.884,0.0011,0.0,0.0,19.3,1.38,117.0,112.0
2024-10-18 20:24:30,61.5,62.3,53.0,2.48,0.0466,42.3,2.15,0.923,0.923,259.0,56.9,1.73,0.0653,17.0,20.0,17.7,30.6,56.4,112.0,113.0,110.0,116.0,0.073,9.3,-50.8,0.175,0.0,0.000576,0.0,20.1,0.00915,0.0,0.0,0.0,0.0,28.2,0.00173,0.0,0.0,20.2,26.8,0.0148,0.158
2024-10-18 20:25:00,55.5,65.8,55.6,1.15,0.0016,42.3,2.15,0.923,0.923,259.0,56.9,1.73,0.0653,17.0,20.0,17.7,30.6,56.4,112.0,113.0,110.0,116.0,0.073,9.3,-50.8,6.29,0.0,0.0,0.0,19.8,0.125,0.0,0.0,0.0,0.0665999999999999,39.0,0.0442,3.06,3.05,19.7,25.0,0.0101,0.157
2024-10-18 20:25:30,44.1,64.0,58.4,13.6,0.199,41.9,68.0,2.78,1.74,13.0,48.9,1.78,44.5,56.5,21.8,23.7,34.5,0.414,112.0,114.0,110.0,112.0,0.726,90.0,-51.0,1.44,0.0,0.000576,0.0,64.2,77.3,0.0,37.9,0.373,0.0,49.8,0.00187,0.0,0.0,23.2,23.2,0.516,106.0
2024-10-18 20:26:00,61.0,45.5,55.1,25.4,0.394,41.9,122.0,1.83,2.83,11.7,101.0,6.53,26.7,100.0,14.5,8.56,56.2,0.246,112.0,113.0,110.0,111.0,0.207,26.6,-51.0,0.604,0.0,0.000575,15.0,48.1,30.1,0.18,23.6,0.234,0.0,80.5,0.00048,0.0,0.0,12.8,23.1,0.47,97.9
