"Time","Total 5G Cell Downlink Traffic"
2024-10-18 20:21:00,120 kb/s
2024-10-18 20:21:30,624 kb/s
2024-10-18 20:22:00,538 kb/s
2024-10-18 20:22:30,222 kb/s
2024-10-18 20:23:00,387 kb/s
2024-10-18 20:23:30,308 kb/s
2024-10-18 20:24:00,489 kb/s
2024-10-18 20:24:30,46.6 kb/s
2024-10-18 20:25:00,1.60 kb/s
2024-10-18 20:25:30,199 kb/s
2024-10-18 20:26:00,394 kb/s
2024-10-18 20:26:30,268 kb/s
2024-10-18 20:27:00,232 kb/s
2024-10-18 20:27:30,342 kb/s
2024-10-18 20:28:00,396 kb/s
2024-10-18 20:28:30,475 kb/s
2024-10-18 20:29:00,118 kb/s
2024-10-18 20:29:30,321 kb/s
2024-10-18 20:30:00,513 kb/s
2024-10-18 20:30:30,787 kb/s
2024-10-18 20:31:00,488 kb/s
2024-10-18 20:31:30,20.6 kb/s
2024-10-18 20:32:00,533 kb/s
2024-10-18 20:32:30,127 kb/s
2024-10-18 20:33:00,357 kb/s
2024-10-18 20:33:30,359 kb/s
2024-10-18 20:34:00,306 kb/s
2024-10-18 20:34:30,72.9 kb/s
2024-10-18 20:35:00,182 kb/s
2024-10-18 20:35:30,529 kb/s
2024-10-18 20:36:00,214 kb/s
2024-10-18 20:36:30,447 kb/s
2024-10-18 20:37:00,271 kb/s
2024-10-18 20:37:30,257 kb/s
2024-10-18 20:38:00,288 kb/s
2024-10-18 20:38:30,69.1 kb/s
2024-10-18 20:39:00,451 kb/s
2024-10-18 20:39:30,440 kb/s
2024-10-18 20:40:00,326 kb/s
2024-10-18 20:40:30,104 kb/s
2024-10-18 20:41:00,122 kb/s
2024-10-18 20:41:30,874 kb/s
2024-10-18 20:42:00,209 kb/s
2024-10-18 20:42:30,108 kb/s
2024-10-18 20:43:00,50.2 kb/s
2024-10-18 20:43:30,225 kb/s
2024-10-18 20:44:00,231 kb/s
2024-10-18 20:44:30,234 kb/s
2024-10-18 20:45:00,301 kb/s
2024-10-18 20:45:30,632 kb/s
2024-10-18 20:46:00,97.7 kb/s
2024-10-18 20:46:30,123 kb/s
2024-10-18 20:47:00,91.4 kb/s
2024-10-18 20:47:30,180 kb/s
2024-10-18 20:48:00,159 kb/s
2024-10-18 20:48:30,339 b/s
2024-10-18 20:49:00,196 b/s
2024-10-18 20:49:30,21.3 b/s
2024-10-18 20:50:00,239 b/s
2024-10-18 20:50:30,50.3 kb/s
2024-10-18 20:51:00,50.6 kb/s
2024-10-18 20:51:30,363 kb/s
2024-10-18 20:52:00,524 kb/s
2024-10-18 20:52:30,140 kb/s
2024-10-18 20:53:00,107 kb/s
2024-10-18 20:53:30,509 b/s
2024-10-18 20:54:00,0 b/s
2024-10-18 20:54:30,265 b/s
2024-10-18 20:55:00,14.6 kb/s
2024-10-18 20:55:30,534 kb/s
2024-10-18 20:56:00,456 kb/s
2024-10-18 20:56:30,375 kb/s
2024-10-18 20:57:00,92.2 kb/s
2024-10-18 20:57:30,83.7 kb/s
2024-10-18 20:58:00,133 kb/s
2024-10-18 20:58:30,291 kb/s
2024-10-18 20:59:00,404 kb/s
2024-10-18 20:59:30,139 b/s
2024-10-18 21:00:00,230 b/s
2024-10-18 21:00:30,425 kb/s
2024-10-18 21:01:00,375 kb/s
2024-10-18 21:01:30,359 kb/s
2024-10-18 21:02:00,425 kb/s
2024-10-18 21:02:30,609 kb/s
2024-10-18 21:03:00,654 kb/s
2024-10-18 21:03:30,457 kb/s
2024-10-18 21:04:00,331 kb/s
2024-10-18 21:04:30,60.1 kb/s
2024-10-18 21:05:00,236 kb/s
2024-10-18 21:05:30,347 kb/s
2024-10-18 21:06:00,299 kb/s
2024-10-18 21:06:30,334 kb/s
2024-10-18 21:07:00,589 kb/s
2024-10-18 21:07:30,130 kb/s
2024-10-18 21:08:00,335 b/s
2024-10-18 21:08:30,21.3 b/s
2024-10-18 21:09:00,101 kb/s
2024-10-18 21:09:30,407 kb/s
2024-10-18 21:10:00,472 kb/s
2024-10-18 21:10:30,20.2 kb/s
2024-10-18 21:11:00,20.6 kb/s
2024-10-18 21:11:30,230 b/s
2024-10-18 21:12:00,0 b/s
2024-10-18 21:12:30,239 b/s
2024-10-18 21:13:00,183 kb/s
2024-10-18 21:13:30,108 kb/s
2024-10-18 21:14:00,169 kb/s
2024-10-18 21:14:30,157 kb/s
2024-10-18 21:15:00,149 kb/s
2024-10-18 21:15:30,56.3 kb/s
2024-10-18 21:16:00,128 kb/s
2024-10-18 21:16:30,714 kb/s
2024-10-18 21:17:00,226 kb/s
2024-10-18 21:17:30,186 kb/s
2024-10-18 21:18:00,506 kb/s
2024-10-18 21:18:30,287 kb/s
2024-10-18 21:19:00,538 kb/s
2024-10-18 21:19:30,232 kb/s
2024-10-18 21:20:00,623 kb/s
2024-10-18 21:20:30,167 kb/s
2024-10-18 21:21:00,118 kb/s
2024-10-18 21:21:30,275 kb/s
2024-10-18 21:22:00,162 kb/s
2024-10-18 21:22:30,9.69 kb/s
2024-10-18 21:23:00,340 kb/s
2024-10-18 21:23:30,310 kb/s
2024-10-18 21:24:00,285 kb/s
2024-10-18 21:24:30,198 kb/s
2024-10-18 21:25:00,616 kb/s
2024-10-18 21:25:30,403 kb/s
2024-10-18 21:26:00,397 kb/s
2024-10-18 21:26:30,397 kb/s
2024-10-18 21:27:00,376 kb/s
2024-10-18 21:27:30,262 kb/s
2024-10-18 21:28:00,498 kb/s
2024-10-18 21:28:30,203 kb/s
2024-10-18 21:29:00,503 b/s
2024-10-18 21:29:30,66.3 kb/s
2024-10-18 21:30:00,72.6 kb/s
2024-10-18 21:30:30,193 kb/s
2024-10-18 21:31:00,449 kb/s
2024-10-18 21:31:30,550 kb/s
2024-10-18 21:32:00,55.8 kb/s
2024-10-18 21:32:30,245 kb/s
2024-10-18 21:33:00,189 kb/s
2024-10-18 21:33:30,161 kb/s
2024-10-18 21:34:00,644 kb/s
2024-10-18 21:34:30,708 kb/s
2024-10-18 21:35:00,404 kb/s
2024-10-18 21:35:30,420 kb/s
2024-10-18 21:36:00,438 kb/s
2024-10-18 21:36:30,610 kb/s
2024-10-18 21:37:00,102 kb/s
2024-10-18 21:37:30,138 kb/s
2024-10-18 21:38:00,270 kb/s
2024-10-18 21:38:30,233 kb/s
2024-10-18 21:39:00,83.4 kb/s
2024-10-18 21:39:30,206 kb/s
2024-10-18 21:40:00,33.2 kb/s
2024-10-18 21:40:30,133 kb/s
2024-10-18 21:41:00,310 kb/s
2024-10-18 21:41:30,617 kb/s
2024-10-18 21:42:00,540 kb/s
2024-10-18 21:42:30,115 kb/s
2024-10-18 21:43:00,296 kb/s
2024-10-18 21:43:30,304 kb/s
2024-10-18 21:44:00,335 kb/s
2024-10-18 21:44:30,80.0 kb/s
2024-10-18 21:45:00,338 kb/s
2024-10-18 21:45:30,301 kb/s
2024-10-18 21:46:00,250 kb/s
2024-10-18 21:46:30,123 kb/s
2024-10-18 21:47:00,144 kb/s
2024-10-18 21:47:30,35.7 kb/s
2024-10-18 21:48:00,249 kb/s
2024-10-18 21:48:30,13.2 kb/s
2024-10-18 21:49:00,382 kb/s
2024-10-18 21:49:30,395 kb/s
2024-10-18 21:50:00,401 kb/s
2024-10-18 21:50:30,436 kb/s
2024-10-18 21:51:00,26.0 kb/s
2024-10-18 21:51:30,24.4 kb/s
2024-10-18 21:52:00,208 kb/s
2024-10-18 21:52:30,134 kb/s
2024-10-18 21:53:00,71.4 kb/s
2024-10-18 21:53:30,350 kb/s
2024-10-18 21:54:00,402 kb/s
2024-10-18 21:54:30,402 kb/s
2024-10-18 21:55:00,283 kb/s
2024-10-18 21:55:30,342 kb/s
2024-10-18 21:56:00,481 kb/s
2024-10-18 21:56:30,353 kb/s
2024-10-18 21:57:00,24.5 kb/s
2024-10-18 21:57:30,245 kb/s
2024-10-18 21:58:00,435 kb/s
2024-10-18 21:58:30,98.5 kb/s
2024-10-18 21:59:00,19.5 kb/s
2024-10-18 21:59:30,77.1 kb/s
2024-10-18 22:00:00,125 kb/s
2024-10-18 22:00:30,95.9 kb/s
2024-10-18 22:01:00,0 b/s
