"Time","payload_data_details_inactiveTime {Aptech=""wifi"", mac_address=""c8:3a:35:a4:07:0d""}"
2024-10-18 20:21:30,6.17 ms
2024-10-18 20:22:00,2.33 ms
2024-10-18 20:22:30,3.33 ms
2024-10-18 20:23:00,4.67 ms
2024-10-18 20:23:30,5.57 ms
2024-10-18 20:24:00,2.83 ms
2024-10-18 20:24:30,0.923 ms
2024-10-18 20:25:30,1.74 ms
2024-10-18 20:26:00,2.83 ms
2024-10-18 20:26:30,10 ms
2024-10-18 20:27:00,5.17 ms
2024-10-18 20:27:30,2.67 ms
2024-10-18 20:28:00,2.78 ms
2024-10-18 20:28:30,3 ms
2024-10-18 20:29:00,10.2 ms
2024-10-18 20:29:30,9.33 ms
2024-10-18 20:30:00,8.50 ms
2024-10-18 20:30:30,5 ms
2024-10-18 20:31:00,2.50 ms
2024-10-18 20:31:30,5.83 ms
2024-10-18 20:32:00,12.8 ms
2024-10-18 20:32:30,16.9 ms
2024-10-18 20:33:00,1.33 ms
2024-10-18 20:33:30,3.67 ms
2024-10-18 20:34:00,0.500 ms
2024-10-18 20:34:30,1.17 ms
2024-10-18 20:35:00,3.83 ms
2024-10-18 20:35:30,5.67 ms
2024-10-18 20:36:00,6 ms
2024-10-18 20:36:30,2.77 ms
2024-10-18 20:37:30,7.67 ms
2024-10-18 20:38:00,8.17 ms
2024-10-18 20:38:30,4.50 ms
2024-10-18 20:39:00,115 ms
2024-10-18 20:39:30,250 ms
2024-10-18 20:40:00,104 ms
2024-10-18 20:40:30,4.17 ms
2024-10-18 20:41:00,122 ms
2024-10-18 20:41:30,2 ms
2024-10-18 20:42:00,1.17 ms
2024-10-18 20:42:30,35.8 ms
2024-10-18 20:43:00,4.83 ms
2024-10-18 20:43:30,4 ms
2024-10-18 20:44:00,40.5 ms
2024-10-18 20:44:30,67 ms
2024-10-18 20:45:00,5 ms
2024-10-18 20:45:30,112 ms
2024-10-18 20:46:00,276 ms
2024-10-18 20:46:30,263 ms
2024-10-18 20:47:00,14.6 ms
2024-10-18 20:47:30,1.50 ms
2024-10-18 20:48:00,3.83 ms
2024-10-18 20:48:30,78.8 ms
2024-10-18 20:49:30,6.82 ms
2024-10-18 20:50:00,2.50 ms
2024-10-18 20:50:30,14.8 ms
2024-10-18 20:51:00,36.2 ms
2024-10-18 20:51:30,9 ms
2024-10-18 20:52:00,19 ms
2024-10-18 20:52:30,15.8 ms
2024-10-18 20:53:00,57.2 ms
2024-10-18 20:53:30,194 ms
2024-10-18 20:54:00,14 ms
2024-10-18 20:54:30,6.67 ms
2024-10-18 20:55:00,0.833 ms
