"Time","payload_data_details_rxBytes {Aptech=""wifi"", mac_address=""c8:3a:35:a0:05:fd""}"
2024-10-18 20:21:30,39.2 Mb/s
2024-10-18 20:22:00,24.2 Mb/s
2024-10-18 20:22:30,33.3 Mb/s
2024-10-18 20:23:00,50.9 Mb/s
2024-10-18 20:23:30,54.2 Mb/s
2024-10-18 20:24:00,72.5 Mb/s
2024-10-18 20:24:30,56.9 Mb/s
2024-10-18 20:25:30,48.9 Mb/s
2024-10-18 20:26:00,101 Mb/s
2024-10-18 20:26:30,23.1 Mb/s
2024-10-18 20:27:00,6.11 Mb/s
2024-10-18 20:27:30,99.8 Mb/s
2024-10-18 20:28:00,63.4 Mb/s
2024-10-18 20:28:30,6.38 Mb/s
2024-10-18 20:29:00,10.3 Mb/s
2024-10-18 20:29:30,10.3 Mb/s
2024-10-18 20:30:00,16.6 Mb/s
2024-10-18 20:30:30,86.9 Mb/s
2024-10-18 20:31:00,73.9 Mb/s
2024-10-18 20:31:30,54.2 Mb/s
2024-10-18 20:32:00,91.5 Mb/s
2024-10-18 20:32:30,48.2 Mb/s
2024-10-18 20:33:00,1.29 Mb/s
2024-10-18 20:33:30,1.31 Mb/s
2024-10-18 20:34:00,18.1 Mb/s
2024-10-18 20:34:30,32.2 Mb/s
2024-10-18 20:35:00,80.3 Mb/s
2024-10-18 20:35:30,21.0 Mb/s
2024-10-18 20:36:00,31.9 Mb/s
2024-10-18 20:36:30,42.1 Mb/s
2024-10-18 20:37:30,47.7 Mb/s
2024-10-18 20:38:00,58.4 Mb/s
2024-10-18 20:38:30,46.7 Mb/s
2024-10-18 20:39:00,25.6 Mb/s
2024-10-18 20:39:30,57.8 Mb/s
2024-10-18 20:40:00,57.2 Mb/s
2024-10-18 20:40:30,56.4 Mb/s
2024-10-18 20:41:00,6.59 Mb/s
2024-10-18 20:41:30,46.9 Mb/s
2024-10-18 20:42:00,47.9 Mb/s
2024-10-18 20:42:30,30.6 Mb/s
2024-10-18 20:43:00,22.2 Mb/s
2024-10-18 20:43:30,22.1 Mb/s
2024-10-18 20:44:00,22.1 Mb/s
2024-10-18 20:44:30,15.4 Mb/s
2024-10-18 20:45:00,8.69 Mb/s
2024-10-18 20:45:30,11.3 Mb/s
2024-10-18 20:46:00,10.2 Mb/s
2024-10-18 20:46:30,10.3 Mb/s
2024-10-18 20:47:00,3.06 Mb/s
2024-10-18 20:47:30,15.9 Mb/s
2024-10-18 20:48:00,16.2 Mb/s
2024-10-18 20:48:30,15.8 Mb/s
2024-10-18 20:49:30,119 Mb/s
2024-10-18 20:50:00,21.2 Mb/s
2024-10-18 20:50:30,6.63 Mb/s
2024-10-18 20:51:00,6.74 Mb/s
2024-10-18 20:51:30,28.7 Mb/s
2024-10-18 20:52:00,73.5 Mb/s
2024-10-18 20:52:30,73.3 Mb/s
2024-10-18 20:53:00,66.3 Mb/s
2024-10-18 20:53:30,39.8 Mb/s
2024-10-18 20:54:00,23.9 Mb/s
2024-10-18 20:54:30,23.9 Mb/s
2024-10-18 20:55:00,23.9 Mb/s
2024-10-18 20:55:30,13.0 Mb/s
2024-10-18 20:56:00,19.7 Mb/s
2024-10-18 20:56:30,47.0 Mb/s
2024-10-18 20:57:00,83.9 Mb/s
2024-10-18 20:57:30,47.0 Mb/s
2024-10-18 20:58:00,31.0 Mb/s
2024-10-18 20:58:30,5.02 Mb/s
2024-10-18 20:59:00,10.9 Mb/s
2024-10-18 20:59:30,71.6 Mb/s
2024-10-18 21:00:00,23.5 Mb/s
2024-10-18 21:00:30,47.6 Mb/s
2024-10-18 21:01:00,65.2 Mb/s
2024-10-18 21:01:30,78.3 Mb/s
2024-10-18 21:02:00,5.77 Mb/s
2024-10-18 21:02:30,12.2 Mb/s
2024-10-18 21:03:00,28.6 Mb/s
2024-10-18 21:03:30,36.4 Mb/s
2024-10-18 21:04:00,39.2 Mb/s
2024-10-18 21:04:30,523 kb/s
2024-10-18 21:05:00,1.01 Mb/s
2024-10-18 21:05:30,55.8 Mb/s
2024-10-18 21:06:00,68.2 Mb/s
2024-10-18 21:06:30,54.1 Mb/s
2024-10-18 21:07:00,67.7 Mb/s
2024-10-18 21:07:30,89.8 Mb/s
2024-10-18 21:08:00,100 Mb/s
2024-10-18 21:08:30,6.15 Mb/s
2024-10-18 21:09:00,168 kb/s
2024-10-18 21:09:30,161 kb/s
2024-10-18 21:10:00,15.9 Mb/s
2024-10-18 21:10:30,17.9 Mb/s
2024-10-18 21:11:00,17.9 Mb/s
2024-10-18 21:11:30,14.3 Mb/s
2024-10-18 21:12:00,29.4 Mb/s
2024-10-18 21:12:30,29.3 Mb/s
2024-10-18 21:13:00,56.1 Mb/s
2024-10-18 21:13:30,79.3 Mb/s
2024-10-18 21:14:00,78.5 Mb/s
2024-10-18 21:14:30,49.1 Mb/s
2024-10-18 21:15:00,48.9 Mb/s
2024-10-18 21:15:30,71.7 Mb/s
2024-10-18 21:16:00,57.8 Mb/s
2024-10-18 21:16:30,33.6 Mb/s
2024-10-18 21:17:00,93.4 Mb/s
2024-10-18 21:17:30,37.6 Mb/s
2024-10-18 21:18:00,63.8 Mb/s
2024-10-18 21:18:30,74.9 Mb/s
2024-10-18 21:19:00,36.8 Mb/s
2024-10-18 21:19:30,74.3 Mb/s
2024-10-18 21:20:00,26.4 Mb/s
2024-10-18 21:20:30,437 kb/s
2024-10-18 21:21:00,535 kb/s
2024-10-18 21:21:30,435 kb/s
2024-10-18 21:22:00,8.19 Mb/s
2024-10-18 21:22:30,21.6 Mb/s
2024-10-18 21:23:00,49.7 Mb/s
2024-10-18 21:23:30,48.5 Mb/s
2024-10-18 21:24:00,68.4 Mb/s
2024-10-18 21:24:30,69.2 Mb/s
2024-10-18 21:25:30,2.26 Mb/s
2024-10-18 21:26:00,17.5 Mb/s
2024-10-18 21:26:30,70.2 Mb/s
2024-10-18 21:27:00,53.6 Mb/s
2024-10-18 21:27:30,41.8 Mb/s
2024-10-18 21:28:00,67.6 Mb/s
2024-10-18 21:28:30,38.2 Mb/s
2024-10-18 21:29:00,53.7 Mb/s
2024-10-18 21:29:30,64.1 Mb/s
2024-10-18 21:30:00,47.8 Mb/s
2024-10-18 21:30:30,27.7 Mb/s
2024-10-18 21:31:00,77.4 Mb/s
2024-10-18 21:31:30,64.4 Mb/s
2024-10-18 21:32:00,43.1 Mb/s
2024-10-18 21:32:30,17.1 Mb/s
2024-10-18 21:33:00,41.4 Mb/s
2024-10-18 21:33:30,47.3 Mb/s
2024-10-18 21:34:00,48.7 Mb/s
2024-10-18 21:34:30,17.2 Mb/s
2024-10-18 21:35:00,59.7 Mb/s
2024-10-18 21:35:30,23.7 Mb/s
2024-10-18 21:36:00,29.8 Mb/s
2024-10-18 21:36:30,40.3 Mb/s
2024-10-18 21:37:00,56.2 Mb/s
2024-10-18 21:37:30,100 Mb/s
2024-10-18 21:38:00,55.3 Mb/s
2024-10-18 21:38:30,74.6 Mb/s
2024-10-18 21:39:00,1.43 Mb/s
2024-10-18 21:39:30,7.51 Mb/s
2024-10-18 21:40:00,19.4 Mb/s
2024-10-18 21:40:30,19.7 Mb/s
2024-10-18 21:41:00,2.32 Mb/s
2024-10-18 21:41:30,486 kb/s
2024-10-18 21:42:00,19.5 Mb/s
2024-10-18 21:42:30,21.3 Mb/s
2024-10-18 21:43:00,25.3 Mb/s
2024-10-18 21:43:30,31.9 Mb/s
2024-10-18 21:44:00,9.83 Mb/s
2024-10-18 21:44:30,632 kb/s
2024-10-18 21:45:00,65.9 Mb/s
2024-10-18 21:45:30,47.4 Mb/s
2024-10-18 21:46:00,33.6 Mb/s
2024-10-18 21:46:30,40.3 Mb/s
2024-10-18 21:47:00,46.7 Mb/s
2024-10-18 21:47:30,24.7 Mb/s
2024-10-18 21:48:00,32.1 Mb/s
2024-10-18 21:48:30,54.8 Mb/s
2024-10-18 21:49:00,58.1 Mb/s
2024-10-18 21:49:30,56.0 Mb/s
