"Time","payload_data_details_rxBytes {Aptech=""wifi"", mac_address=""c8:3a:35:a4:06:9d""}"
2024-10-18 20:21:30,177 b/s
2024-10-18 20:22:00,166 b/s
2024-10-18 20:22:30,32.6 b/s
2024-10-18 20:23:00,223 b/s
2024-10-18 20:23:30,6.49 Mb/s
2024-10-18 20:24:00,6.36 Mb/s
2024-10-18 20:24:30,1.73 Mb/s
2024-10-18 20:25:30,1.78 Mb/s
2024-10-18 20:26:00,6.53 Mb/s
2024-10-18 20:26:30,108 b/s
2024-10-18 20:27:00,107 b/s
2024-10-18 20:27:30,4.04 Mb/s
2024-10-18 20:28:00,7.93 Mb/s
2024-10-18 20:28:30,299 kb/s
2024-10-18 20:29:00,0 b/s
2024-10-18 20:29:30,223 b/s
2024-10-18 20:30:00,10.7 Mb/s
2024-10-18 20:30:30,936 kb/s
2024-10-18 20:31:00,6.30 Mb/s
2024-10-18 20:31:30,2.90 Mb/s
2024-10-18 20:32:00,6.30 Mb/s
2024-10-18 20:32:30,12.9 Mb/s
2024-10-18 20:33:00,18.7 Mb/s
2024-10-18 20:33:30,16.0 Mb/s
2024-10-18 20:34:00,7.89 Mb/s
2024-10-18 20:34:30,7.39 Mb/s
2024-10-18 20:35:00,8.84 Mb/s
2024-10-18 20:35:30,6.94 Mb/s
2024-10-18 20:36:00,3.68 Mb/s
2024-10-18 20:36:30,16.1 Mb/s
2024-10-18 20:37:30,4.82 Mb/s
2024-10-18 20:38:00,94.4 b/s
2024-10-18 20:38:30,43.9 b/s
2024-10-18 20:39:00,0 b/s
2024-10-18 20:39:30,252 b/s
2024-10-18 20:40:00,4.64 Mb/s
2024-10-18 20:40:30,5.66 Mb/s
2024-10-18 20:41:00,5.75 Mb/s
2024-10-18 20:41:30,5.66 Mb/s
2024-10-18 20:42:00,1.71 Mb/s
2024-10-18 20:42:30,2.17 Mb/s
2024-10-18 20:43:00,1.31 Mb/s
2024-10-18 20:43:30,61.2 b/s
2024-10-18 20:44:00,143 b/s
2024-10-18 20:44:30,185 b/s
2024-10-18 20:45:00,144 b/s
2024-10-18 20:45:30,77.4 b/s
