"Time","payload_data_details_txBytes {Aptech=""wifi"", mac_address=""c8:3a:35:a4:07:0d""}"
2024-10-18 20:21:30,692 kb/s
2024-10-18 20:22:00,18.7 Mb/s
2024-10-18 20:22:30,24.6 Mb/s
2024-10-18 20:23:00,49.2 Mb/s
2024-10-18 20:23:30,36.9 Mb/s
2024-10-18 20:24:00,55.9 Mb/s
2024-10-18 20:24:30,17.0 Mb/s
2024-10-18 20:25:30,56.5 Mb/s
2024-10-18 20:26:00,100 Mb/s
2024-10-18 20:26:30,22.8 Mb/s
2024-10-18 20:27:00,54.4 Mb/s
2024-10-18 20:27:30,71.9 Mb/s
2024-10-18 20:28:00,83.8 Mb/s
2024-10-18 20:28:30,111 Mb/s
2024-10-18 20:29:00,995 kb/s
2024-10-18 20:29:30,204 kb/s
2024-10-18 20:30:00,73.6 Mb/s
2024-10-18 20:30:30,67.4 Mb/s
2024-10-18 20:31:00,92.8 Mb/s
2024-10-18 20:31:30,11.4 Mb/s
2024-10-18 20:32:00,20.7 Mb/s
2024-10-18 20:32:30,7.99 Mb/s
2024-10-18 20:33:00,9.75 Mb/s
2024-10-18 20:33:30,9.77 Mb/s
2024-10-18 20:34:00,26.3 Mb/s
2024-10-18 20:34:30,31.9 Mb/s
2024-10-18 20:35:00,80.2 Mb/s
2024-10-18 20:35:30,21.1 Mb/s
2024-10-18 20:36:00,206 kb/s
2024-10-18 20:36:30,260 kb/s
2024-10-18 20:37:30,46.6 Mb/s
2024-10-18 20:38:00,58.2 Mb/s
2024-10-18 20:38:30,46.5 Mb/s
2024-10-18 20:39:00,24.1 Mb/s
2024-10-18 20:39:30,9.42 kb/s
2024-10-18 20:40:00,9.21 kb/s
2024-10-18 20:40:30,8.81 kb/s
2024-10-18 20:41:00,17.5 Mb/s
2024-10-18 20:41:30,101 Mb/s
2024-10-18 20:42:00,101 Mb/s
2024-10-18 20:42:30,39.8 Mb/s
2024-10-18 20:43:00,7.71 kb/s
2024-10-18 20:43:30,8.14 kb/s
2024-10-18 20:44:00,9.01 kb/s
2024-10-18 20:44:30,12.1 Mb/s
2024-10-18 20:45:00,868 kb/s
2024-10-18 20:45:30,341 kb/s
2024-10-18 20:46:00,8.25 kb/s
2024-10-18 20:46:30,7.98 kb/s
2024-10-18 20:47:00,34.7 Mb/s
2024-10-18 20:47:30,25.7 Mb/s
2024-10-18 20:48:00,13.7 kb/s
2024-10-18 20:48:30,11.0 kb/s
2024-10-18 20:49:30,24.8 Mb/s
2024-10-18 20:50:00,28.2 Mb/s
2024-10-18 20:50:30,28.8 Mb/s
2024-10-18 20:51:00,11.7 Mb/s
2024-10-18 20:51:30,2.61 Mb/s
2024-10-18 20:52:00,234 kb/s
2024-10-18 20:52:30,273 kb/s
2024-10-18 20:53:00,234 kb/s
2024-10-18 20:53:30,8.36 kb/s
2024-10-18 20:54:00,8.85 kb/s
2024-10-18 20:54:30,8.55 kb/s
2024-10-18 20:55:00,92.8 Mb/s
2024-10-18 20:55:30,153 Mb/s
2024-10-18 20:56:00,134 Mb/s
2024-10-18 20:56:30,121 Mb/s
2024-10-18 20:57:00,104 Mb/s
2024-10-18 20:57:30,74.4 Mb/s
2024-10-18 20:58:00,44.8 Mb/s
2024-10-18 20:58:30,11.2 Mb/s
2024-10-18 20:59:00,4.82 Mb/s
2024-10-18 20:59:30,8.35 kb/s
2024-10-18 21:00:00,114 kb/s
2024-10-18 21:00:30,646 kb/s
2024-10-18 21:01:00,588 kb/s
2024-10-18 21:01:30,50.1 Mb/s
2024-10-18 21:02:00,21.2 Mb/s
2024-10-18 21:02:30,68.4 Mb/s
2024-10-18 21:03:00,95.4 Mb/s
2024-10-18 21:03:30,103 Mb/s
2024-10-18 21:04:00,88.2 Mb/s
2024-10-18 21:04:30,110 kb/s
2024-10-18 21:05:00,7.96 kb/s
2024-10-18 21:05:30,8.33 kb/s
2024-10-18 21:06:00,8.24 kb/s
2024-10-18 21:06:30,57.4 Mb/s
2024-10-18 21:07:00,59.4 Mb/s
2024-10-18 21:07:30,31.0 Mb/s
2024-10-18 21:08:00,8.84 kb/s
2024-10-18 21:08:30,5.74 Mb/s
2024-10-18 21:09:00,325 kb/s
2024-10-18 21:09:30,619 kb/s
2024-10-18 21:10:00,16.2 Mb/s
2024-10-18 21:10:30,17.7 Mb/s
2024-10-18 21:11:00,17.7 Mb/s
2024-10-18 21:11:30,14.3 Mb/s
2024-10-18 21:12:00,73.2 Mb/s
2024-10-18 21:12:30,74.8 Mb/s
2024-10-18 21:13:00,8.37 Mb/s
2024-10-18 21:13:30,120 kb/s
2024-10-18 21:14:00,229 kb/s
2024-10-18 21:14:30,223 kb/s
2024-10-18 21:15:00,221 kb/s
2024-10-18 21:15:30,69.6 kb/s
2024-10-18 21:16:00,259 kb/s
2024-10-18 21:16:30,336 kb/s
2024-10-18 21:17:00,6.35 Mb/s
2024-10-18 21:17:30,41.7 Mb/s
2024-10-18 21:18:00,40.7 Mb/s
2024-10-18 21:18:30,9.03 Mb/s
2024-10-18 21:19:00,46.9 Mb/s
2024-10-18 21:19:30,46.9 Mb/s
2024-10-18 21:20:00,72.8 Mb/s
2024-10-18 21:20:30,48.1 Mb/s
2024-10-18 21:21:00,37.3 Mb/s
2024-10-18 21:21:30,103 Mb/s
2024-10-18 21:22:00,39.6 Mb/s
2024-10-18 21:22:30,52.8 Mb/s
2024-10-18 21:23:00,93.3 Mb/s
2024-10-18 21:23:30,91.8 Mb/s
2024-10-18 21:24:00,68.1 Mb/s
2024-10-18 21:24:30,67.9 Mb/s
2024-10-18 21:25:30,2.28 Mb/s
2024-10-18 21:26:00,17.2 Mb/s
2024-10-18 21:26:30,82.4 Mb/s
2024-10-18 21:27:00,71.4 Mb/s
2024-10-18 21:27:30,9.20 Mb/s
2024-10-18 21:28:00,49.2 Mb/s
2024-10-18 21:28:30,49.2 Mb/s
2024-10-18 21:29:00,12.4 Mb/s
2024-10-18 21:29:30,106 kb/s
2024-10-18 21:30:00,110 kb/s
2024-10-18 21:30:30,456 kb/s
2024-10-18 21:31:00,114 Mb/s
2024-10-18 21:31:30,93.8 Mb/s
2024-10-18 21:32:00,42.1 Mb/s
2024-10-18 21:32:30,426 kb/s
2024-10-18 21:33:00,40.4 Mb/s
2024-10-18 21:33:30,99.8 Mb/s
2024-10-18 21:34:00,104 Mb/s
2024-10-18 21:34:30,73.0 Mb/s
2024-10-18 21:35:00,444 kb/s
2024-10-18 21:35:30,9.76 kb/s
2024-10-18 21:36:00,401 kb/s
2024-10-18 21:36:30,572 kb/s
2024-10-18 21:37:00,41.9 kb/s
2024-10-18 21:37:30,152 kb/s
2024-10-18 21:38:00,223 kb/s
2024-10-18 21:38:30,108 kb/s
2024-10-18 21:39:00,8.65 kb/s
