"Time","payload_data_details_txBytes {Aptech=""wifi"", mac_address=""c8:3a:35:ac:04:5d""}"
2024-10-18 20:21:30,207 kb/s
2024-10-18 20:22:00,2.00 Mb/s
2024-10-18 20:22:30,55.9 Mb/s
2024-10-18 20:23:00,121 Mb/s
2024-10-18 20:23:30,87.7 Mb/s
2024-10-18 20:24:00,72.0 Mb/s
2024-10-18 20:24:30,56.4 Mb/s
2024-10-18 20:25:30,414 kb/s
2024-10-18 20:26:00,246 kb/s
2024-10-18 20:26:30,9.43 Mb/s
2024-10-18 20:27:00,21.1 Mb/s
2024-10-18 20:27:30,153 Mb/s
2024-10-18 20:28:00,75.6 Mb/s
2024-10-18 20:28:30,679 kb/s
2024-10-18 20:29:00,233 kb/s
2024-10-18 20:29:30,527 kb/s
2024-10-18 20:30:00,15.1 Mb/s
2024-10-18 20:30:30,87.1 Mb/s
2024-10-18 20:31:00,97.3 Mb/s
2024-10-18 20:31:30,145 Mb/s
2024-10-18 20:32:00,90.2 Mb/s
2024-10-18 20:32:30,49.4 Mb/s
2024-10-18 20:33:00,153 kb/s
2024-10-18 20:33:30,34.9 Mb/s
2024-10-18 20:34:00,51.2 Mb/s
2024-10-18 20:34:30,79.8 Mb/s
2024-10-18 20:35:00,45.0 Mb/s
2024-10-18 20:35:30,36.2 Mb/s
2024-10-18 20:36:00,8.42 kb/s
2024-10-18 20:36:30,9.19 kb/s
2024-10-18 20:37:30,41.8 Mb/s
2024-10-18 20:38:00,110 Mb/s
2024-10-18 20:38:30,108 Mb/s
2024-10-18 20:39:00,104 Mb/s
2024-10-18 20:39:30,64.7 Mb/s
2024-10-18 20:40:00,16.3 Mb/s
2024-10-18 20:40:30,21.6 Mb/s
2024-10-18 20:41:00,21.7 Mb/s
2024-10-18 20:41:30,20.1 Mb/s
2024-10-18 20:42:00,7.49 Mb/s
2024-10-18 20:42:30,7.78 Mb/s
2024-10-18 20:43:00,36.4 Mb/s
2024-10-18 20:43:30,38.0 Mb/s
2024-10-18 20:44:00,35.4 Mb/s
2024-10-18 20:44:30,15.5 Mb/s
2024-10-18 20:45:00,7.52 Mb/s
2024-10-18 20:45:30,110 Mb/s
2024-10-18 20:46:00,112 Mb/s
2024-10-18 20:46:30,78.7 Mb/s
2024-10-18 20:47:00,64.3 Mb/s
2024-10-18 20:47:30,85.5 Mb/s
2024-10-18 20:48:00,130 Mb/s
2024-10-18 20:48:30,118 Mb/s
2024-10-18 20:49:30,181 Mb/s
2024-10-18 20:50:00,18.2 Mb/s
2024-10-18 20:50:30,8.33 kb/s
2024-10-18 20:51:00,15.3 kb/s
2024-10-18 20:51:30,24.7 Mb/s
2024-10-18 20:52:00,71.7 Mb/s
2024-10-18 20:52:30,109 Mb/s
2024-10-18 20:53:00,144 Mb/s
2024-10-18 20:53:30,81.9 Mb/s
2024-10-18 20:54:00,39.6 Mb/s
2024-10-18 20:54:30,39.6 Mb/s
2024-10-18 20:55:00,39.9 Mb/s
2024-10-18 20:55:30,20.1 Mb/s
2024-10-18 20:56:00,49.9 Mb/s
2024-10-18 20:56:30,71.3 Mb/s
2024-10-18 20:57:00,70.9 Mb/s
2024-10-18 20:57:30,65.6 Mb/s
2024-10-18 20:58:00,8.23 kb/s
2024-10-18 20:58:30,3.59 Mb/s
2024-10-18 20:59:00,10.00 Mb/s
2024-10-18 20:59:30,71.2 Mb/s
2024-10-18 21:00:00,23.3 Mb/s
2024-10-18 21:00:30,47.3 Mb/s
2024-10-18 21:01:00,64.9 Mb/s
2024-10-18 21:01:30,78.0 Mb/s
2024-10-18 21:02:00,5.42 Mb/s
2024-10-18 21:02:30,11.5 Mb/s
2024-10-18 21:03:00,415 kb/s
2024-10-18 21:03:30,14.5 kb/s
2024-10-18 21:04:00,9.15 kb/s
2024-10-18 21:04:30,38.5 Mb/s
2024-10-18 21:05:00,112 Mb/s
2024-10-18 21:05:30,167 Mb/s
2024-10-18 21:06:00,130 Mb/s
2024-10-18 21:06:30,65.6 Mb/s
2024-10-18 21:07:00,10.1 Mb/s
2024-10-18 21:07:30,10.4 Mb/s
2024-10-18 21:08:00,9.92 Mb/s
2024-10-18 21:08:30,6.26 Mb/s
2024-10-18 21:09:00,61.4 Mb/s
2024-10-18 21:09:30,105 Mb/s
2024-10-18 21:10:00,79.7 Mb/s
2024-10-18 21:10:30,3.23 Mb/s
2024-10-18 21:11:00,2.00 Mb/s
2024-10-18 21:11:30,54.3 Mb/s
2024-10-18 21:12:00,86.5 Mb/s
2024-10-18 21:12:30,54.8 Mb/s
2024-10-18 21:13:00,91.3 Mb/s
2024-10-18 21:13:30,87.1 Mb/s
2024-10-18 21:14:00,78.1 Mb/s
2024-10-18 21:14:30,81.4 Mb/s
2024-10-18 21:15:00,82.0 Mb/s
2024-10-18 21:15:30,105 Mb/s
2024-10-18 21:16:00,62.4 Mb/s
2024-10-18 21:16:30,34.0 Mb/s
2024-10-18 21:17:00,93.1 Mb/s
2024-10-18 21:17:30,37.4 Mb/s
2024-10-18 21:18:00,63.6 Mb/s
2024-10-18 21:18:30,90.5 Mb/s
2024-10-18 21:19:00,22.2 Mb/s
2024-10-18 21:19:30,5.38 Mb/s
2024-10-18 21:20:00,364 kb/s
2024-10-18 21:20:30,117 kb/s
2024-10-18 21:21:00,85.7 kb/s
2024-10-18 21:21:30,25.6 kb/s
2024-10-18 21:22:00,8.03 kb/s
2024-10-18 21:22:30,12.2 Mb/s
2024-10-18 21:23:00,60.9 Mb/s
2024-10-18 21:23:30,59.9 Mb/s
2024-10-18 21:24:00,59.4 Mb/s
2024-10-18 21:24:30,17.7 Mb/s
2024-10-18 21:25:30,68.4 Mb/s
2024-10-18 21:26:00,31.4 Mb/s
2024-10-18 21:26:30,9.01 kb/s
2024-10-18 21:27:00,8.77 kb/s
2024-10-18 21:27:30,40.5 Mb/s
2024-10-18 21:28:00,107 Mb/s
2024-10-18 21:28:30,79.8 Mb/s
2024-10-18 21:29:00,22.5 Mb/s
2024-10-18 21:29:30,13.6 Mb/s
2024-10-18 21:30:00,13.6 Mb/s
