"Time","recv wlxc83a35ac045d"
2024-10-18 20:21:00,276 kb/s
2024-10-18 20:21:30,276 kb/s
2024-10-18 20:22:00,24.5 Mb/s
2024-10-18 20:22:30,81.5 Mb/s
2024-10-18 20:23:00,129 Mb/s
2024-10-18 20:23:30,17.9 Mb/s
2024-10-18 20:24:00,117 Mb/s
2024-10-18 20:24:30,14.8 kb/s
2024-10-18 20:25:00,10.1 kb/s
2024-10-18 20:25:30,516 kb/s
2024-10-18 20:26:00,470 kb/s
2024-10-18 20:26:30,14.3 Mb/s
2024-10-18 20:27:00,106 Mb/s
2024-10-18 20:27:30,64.3 Mb/s
2024-10-18 20:28:00,810 kb/s
2024-10-18 20:28:30,298 kb/s
2024-10-18 20:29:00,617 kb/s
2024-10-18 20:29:30,613 kb/s
2024-10-18 20:30:00,78.9 Mb/s
2024-10-18 20:30:30,22.6 Mb/s
2024-10-18 20:31:00,73.6 Mb/s
2024-10-18 20:31:30,135 Mb/s
2024-10-18 20:32:00,125 Mb/s
2024-10-18 20:32:30,173 kb/s
2024-10-18 20:33:00,192 kb/s
2024-10-18 20:33:30,49.4 Mb/s
2024-10-18 20:34:00,52.7 Mb/s
2024-10-18 20:34:30,79.6 Mb/s
2024-10-18 20:35:00,41.6 Mb/s
2024-10-18 20:35:30,9.27 kb/s
2024-10-18 20:36:00,9.28 kb/s
2024-10-18 20:36:30,10.9 kb/s
2024-10-18 20:37:00,41.0 Mb/s
2024-10-18 20:37:30,41.6 Mb/s
2024-10-18 20:38:00,79.8 Mb/s
2024-10-18 20:38:30,109 Mb/s
2024-10-18 20:39:00,103 Mb/s
2024-10-18 20:39:30,327 kb/s
2024-10-18 20:40:00,22.1 Mb/s
2024-10-18 20:40:30,20.7 Mb/s
2024-10-18 20:41:00,22.3 Mb/s
2024-10-18 20:41:30,7.36 Mb/s
2024-10-18 20:42:00,7.82 Mb/s
2024-10-18 20:42:30,21.5 Mb/s
2024-10-18 20:43:00,38.3 Mb/s
2024-10-18 20:43:30,39.3 Mb/s
2024-10-18 20:44:00,22.1 Mb/s
2024-10-18 20:44:30,524 kb/s
2024-10-18 20:45:00,10.7 Mb/s
2024-10-18 20:45:30,116 Mb/s
2024-10-18 20:46:00,114 Mb/s
2024-10-18 20:46:30,9.14 Mb/s
2024-10-18 20:47:00,92.6 Mb/s
2024-10-18 20:47:30,88.2 Mb/s
2024-10-18 20:48:00,154 Mb/s
2024-10-18 20:48:30,87.4 Mb/s
2024-10-18 20:49:00,70.0 Mb/s
2024-10-18 20:49:30,119 Mb/s
2024-10-18 20:50:00,12.2 kb/s
2024-10-18 20:50:30,9.27 kb/s
2024-10-18 20:51:00,10.7 kb/s
2024-10-18 20:51:30,87.8 Mb/s
2024-10-18 20:52:00,62.2 Mb/s
2024-10-18 20:52:30,130 Mb/s
2024-10-18 20:53:00,158 Mb/s
2024-10-18 20:53:30,40.1 Mb/s
2024-10-18 20:54:00,41.9 Mb/s
2024-10-18 20:54:30,39.4 Mb/s
2024-10-18 20:55:00,40.3 Mb/s
2024-10-18 20:55:30,797 kb/s
2024-10-18 20:56:00,70.7 Mb/s
2024-10-18 20:56:30,75.0 Mb/s
2024-10-18 20:57:00,26.5 Mb/s
2024-10-18 20:57:30,8.46 kb/s
2024-10-18 20:58:00,10.1 kb/s
2024-10-18 20:58:30,19.3 Mb/s
2024-10-18 20:59:00,78.4 Mb/s
2024-10-18 20:59:30,9.28 kb/s
2024-10-18 21:00:00,55.0 Mb/s
2024-10-18 21:00:30,12.1 kb/s
2024-10-18 21:01:00,67.4 Mb/s
2024-10-18 21:01:30,90.2 Mb/s
2024-10-18 21:02:00,10.4 kb/s
2024-10-18 21:02:30,729 kb/s
2024-10-18 21:03:00,10.1 kb/s
2024-10-18 21:03:30,10.8 kb/s
2024-10-18 21:04:00,9.27 kb/s
2024-10-18 21:04:30,115 Mb/s
2024-10-18 21:05:00,119 Mb/s
2024-10-18 21:05:30,136 Mb/s
2024-10-18 21:06:30,455 kb/s
2024-10-18 21:07:00,10.2 Mb/s
2024-10-18 21:07:30,11.4 Mb/s
2024-10-18 21:08:00,6.36 Mb/s
2024-10-18 21:08:30,6.33 Mb/s
2024-10-18 21:09:00,120 Mb/s
2024-10-18 21:09:30,95.4 Mb/s
2024-10-18 21:10:00,3.02 Mb/s
2024-10-18 21:10:30,3.44 Mb/s
2024-10-18 21:11:00,10.8 kb/s
2024-10-18 21:11:30,85.1 Mb/s
2024-10-18 21:12:00,85.5 Mb/s
2024-10-18 21:12:30,42.9 Mb/s
2024-10-18 21:13:00,101 Mb/s
2024-10-18 21:13:30,65.0 Mb/s
2024-10-18 21:14:00,66.5 Mb/s
2024-10-18 21:14:30,85.6 Mb/s
2024-10-18 21:15:00,85.6 Mb/s
2024-10-18 21:15:30,86.8 Mb/s
2024-10-18 21:16:00,42.2 Mb/s
2024-10-18 21:16:30,75.6 Mb/s
2024-10-18 21:17:00,99.6 Mb/s
2024-10-18 21:17:30,104 kb/s
2024-10-18 21:18:00,79.7 Mb/s
2024-10-18 21:18:30,28.9 Mb/s
2024-10-18 21:19:00,22.9 Mb/s
2024-10-18 21:19:30,460 kb/s
2024-10-18 21:20:00,435 kb/s
2024-10-18 21:20:30,83.9 kb/s
2024-10-18 21:21:00,83.3 kb/s
2024-10-18 21:21:30,9.13 kb/s
2024-10-18 21:22:00,24.6 kb/s
2024-10-18 21:22:30,67.8 Mb/s
2024-10-18 21:23:00,60.6 Mb/s
2024-10-18 21:23:30,61.9 Mb/s
2024-10-18 21:24:00,60.9 Mb/s
2024-10-18 21:24:30,22.9 kb/s
2024-10-18 21:25:00,70.4 Mb/s
2024-10-18 21:25:30,72.0 Mb/s
2024-10-18 21:26:00,25.4 kb/s
2024-10-18 21:26:30,25.4 kb/s
2024-10-18 21:27:00,24.6 kb/s
2024-10-18 21:27:30,66.6 Mb/s
2024-10-18 21:28:00,125 Mb/s
2024-10-18 21:28:30,43.7 Mb/s
2024-10-18 21:29:00,13.4 Mb/s
2024-10-18 21:29:30,13.5 Mb/s
2024-10-18 21:30:00,13.1 Mb/s
2024-10-18 21:30:30,23.8 kb/s
2024-10-18 21:31:00,742 kb/s
2024-10-18 21:31:30,102 Mb/s
2024-10-18 21:32:00,32.7 Mb/s
2024-10-18 21:32:30,33.7 Mb/s
2024-10-18 21:33:00,23.8 kb/s
2024-10-18 21:33:30,24.6 kb/s
2024-10-18 21:34:00,867 kb/s
2024-10-18 21:34:30,25.4 kb/s
2024-10-18 21:35:00,24.6 kb/s
2024-10-18 21:35:30,760 kb/s
2024-10-18 21:36:00,86.2 Mb/s
2024-10-18 21:36:30,91.9 Mb/s
2024-10-18 21:37:00,122 Mb/s
2024-10-18 21:37:30,99.9 Mb/s
2024-10-18 21:38:00,77.8 Mb/s
2024-10-18 21:38:30,13.4 Mb/s
2024-10-18 21:39:00,12.9 Mb/s
2024-10-18 21:39:30,19.3 Mb/s
2024-10-18 21:40:00,47.7 Mb/s
2024-10-18 21:40:30,17.8 Mb/s
2024-10-18 21:41:00,23.8 kb/s
2024-10-18 21:41:30,420 kb/s
2024-10-18 21:42:00,911 kb/s
2024-10-18 21:42:30,23.0 kb/s
2024-10-18 21:43:00,81.3 kb/s
2024-10-18 21:43:30,87.5 kb/s
2024-10-18 21:44:00,23.0 kb/s
2024-10-18 21:44:30,534 kb/s
2024-10-18 21:45:00,375 kb/s
