"Time","payload_data_details_txBytes {Aptech=""lifi"", mac_address=""00:c0:ca:b5:c6:77""}"
2024-10-18 20:21:30,8.75 kb/s
2024-10-18 20:22:00,8.29 kb/s
2024-10-18 20:22:30,8.93 kb/s
2024-10-18 20:23:00,9.53 kb/s
2024-10-18 20:23:30,214 kb/s
2024-10-18 20:24:00,189 kb/s
2024-10-18 20:24:30,73.0 kb/s
2024-10-18 20:25:30,726 kb/s
2024-10-18 20:26:00,207 kb/s
2024-10-18 20:26:30,8.11 kb/s
2024-10-18 20:27:00,6.97 kb/s
2024-10-18 20:27:30,77.9 kb/s
2024-10-18 20:28:00,136 kb/s
2024-10-18 20:28:30,10.9 kb/s
2024-10-18 20:29:00,7.58 kb/s
2024-10-18 20:29:30,7.71 kb/s
2024-10-18 20:30:00,345 kb/s
2024-10-18 20:30:30,326 kb/s
2024-10-18 20:31:00,411 kb/s
2024-10-18 20:31:30,58.4 kb/s
2024-10-18 20:32:00,81.8 kb/s
2024-10-18 20:32:30,248 kb/s
2024-10-18 20:33:00,381 kb/s
2024-10-18 20:33:30,368 kb/s
2024-10-18 20:34:00,306 kb/s
2024-10-18 20:34:30,155 kb/s
2024-10-18 20:35:00,184 kb/s
2024-10-18 20:35:30,156 kb/s
2024-10-18 20:36:00,77.0 kb/s
2024-10-18 20:36:30,334 kb/s
2024-10-18 20:37:30,2.17 Mb/s
2024-10-18 20:38:00,10.4 kb/s
2024-10-18 20:38:30,10.8 kb/s
2024-10-18 20:39:00,8.59 kb/s
2024-10-18 20:39:30,9.15 kb/s
2024-10-18 20:40:00,61.3 kb/s
2024-10-18 20:40:30,89.4 kb/s
2024-10-18 20:41:00,86.5 kb/s
2024-10-18 20:41:30,66.2 kb/s
2024-10-18 20:42:00,34.7 kb/s
2024-10-18 20:42:30,38.8 kb/s
2024-10-18 20:43:00,28.9 kb/s
2024-10-18 20:43:30,6.37 kb/s
2024-10-18 20:44:00,7.35 kb/s
2024-10-18 20:44:30,8.02 kb/s
2024-10-18 20:45:00,6.36 kb/s
2024-10-18 20:45:30,9.07 kb/s
2024-10-18 20:46:00,5.70 kb/s
2024-10-18 20:46:30,13.2 kb/s
2024-10-18 20:47:00,146 kb/s
2024-10-18 20:47:30,116 kb/s
2024-10-18 20:48:00,5.83 kb/s
2024-10-18 20:48:30,4.20 kb/s
2024-10-18 20:49:30,62.9 kb/s
2024-10-18 20:50:00,20.4 kb/s
2024-10-18 20:50:30,40.8 kb/s
2024-10-18 20:51:00,26.2 kb/s
2024-10-18 20:51:30,285 kb/s
2024-10-18 20:52:00,284 kb/s
2024-10-18 20:52:30,57.3 kb/s
2024-10-18 20:53:00,8.21 kb/s
2024-10-18 20:53:30,10.2 kb/s
2024-10-18 20:54:00,7.93 kb/s
2024-10-18 20:54:30,10.6 kb/s
2024-10-18 20:55:00,7.88 kb/s
2024-10-18 20:55:30,7.66 kb/s
2024-10-18 20:56:00,7.60 kb/s
2024-10-18 20:56:30,20.0 kb/s
2024-10-18 20:57:00,99.7 kb/s
2024-10-18 20:57:30,92.9 kb/s
2024-10-18 20:58:00,22.2 kb/s
2024-10-18 20:58:30,6.54 kb/s
2024-10-18 20:59:00,8.04 kb/s
2024-10-18 20:59:30,8.33 kb/s
2024-10-18 21:00:00,8.25 kb/s
2024-10-18 21:00:30,8.05 kb/s
2024-10-18 21:01:00,9.44 kb/s
2024-10-18 21:01:30,13.1 kb/s
2024-10-18 21:02:00,8.44 kb/s
2024-10-18 21:02:30,8.77 kb/s
2024-10-18 21:03:00,8.00 kb/s
2024-10-18 21:03:30,7.38 kb/s
2024-10-18 21:04:00,8.18 kb/s
2024-10-18 21:04:30,7.48 kb/s
2024-10-18 21:05:00,9.83 kb/s
2024-10-18 21:05:30,7.27 kb/s
2024-10-18 21:06:00,7.56 kb/s
2024-10-18 21:06:30,252 kb/s
2024-10-18 21:07:00,280 kb/s
2024-10-18 21:07:30,156 kb/s
2024-10-18 21:08:00,6.75 kb/s
2024-10-18 21:08:30,7.88 kb/s
2024-10-18 21:09:00,8.20 kb/s
2024-10-18 21:09:30,7.15 kb/s
2024-10-18 21:10:00,14.7 kb/s
2024-10-18 21:10:30,28.7 kb/s
2024-10-18 21:11:00,21.4 kb/s
2024-10-18 21:11:30,8.10 kb/s
2024-10-18 21:12:00,7.83 kb/s
2024-10-18 21:12:30,8.46 kb/s
2024-10-18 21:13:30,2.14 Mb/s
2024-10-18 21:14:00,47.9 kb/s
2024-10-18 21:14:30,8.01 kb/s
2024-10-18 21:15:00,7.81 kb/s
2024-10-18 21:15:30,8.41 kb/s
2024-10-18 21:16:00,8.86 kb/s
2024-10-18 21:16:30,21.9 kb/s
2024-10-18 21:17:30,61.8 kb/s
2024-10-18 21:18:00,9.22 kb/s
2024-10-18 21:18:30,7.90 kb/s
2024-10-18 21:19:00,9.30 kb/s
2024-10-18 21:19:30,7.86 kb/s
2024-10-18 21:20:00,125 kb/s
2024-10-18 21:20:30,138 kb/s
2024-10-18 21:21:30,1.53 Mb/s
2024-10-18 21:22:00,141 kb/s
2024-10-18 21:22:30,7.46 kb/s
2024-10-18 21:23:00,7.68 kb/s
2024-10-18 21:23:30,9.50 kb/s
2024-10-18 21:24:00,53.6 kb/s
2024-10-18 21:24:30,469 kb/s
2024-10-18 21:25:30,1.12 Mb/s
2024-10-18 21:26:00,45.7 kb/s
2024-10-18 21:26:30,46.5 kb/s
2024-10-18 21:27:00,36.0 kb/s
2024-10-18 21:27:30,250 kb/s
2024-10-18 21:28:00,307 kb/s
2024-10-18 21:28:30,9.52 kb/s
2024-10-18 21:29:00,11.2 kb/s
2024-10-18 21:29:30,7.70 kb/s
2024-10-18 21:30:00,7.32 kb/s
2024-10-18 21:30:30,7.35 kb/s
2024-10-18 21:31:00,58.2 kb/s
2024-10-18 21:31:30,67.6 kb/s
2024-10-18 21:32:00,23.7 kb/s
2024-10-18 21:32:30,4.82 kb/s
2024-10-18 21:33:30,702 kb/s
2024-10-18 21:34:00,321 kb/s
2024-10-18 21:34:30,275 kb/s
2024-10-18 21:35:00,186 kb/s
2024-10-18 21:35:30,297 kb/s
2024-10-18 21:36:00,267 kb/s
2024-10-18 21:36:30,262 kb/s
