"Time","payload_data_details_inactiveTime {Aptech=""wifi"", mac_address=""c8:3a:35:a4:06:9d""}"
2024-10-18 20:21:30,4.33 ms
2024-10-18 20:22:00,10 ms
2024-10-18 20:22:30,76.7 ms
2024-10-18 20:23:00,269 ms
2024-10-18 20:23:30,109 ms
2024-10-18 20:24:00,136 ms
2024-10-18 20:24:30,259 ms
2024-10-18 20:25:30,13.0 ms
2024-10-18 20:26:00,11.7 ms
2024-10-18 20:26:30,7.67 ms
2024-10-18 20:27:00,72.7 ms
2024-10-18 20:27:30,143 ms
2024-10-18 20:28:00,14.1 ms
2024-10-18 20:28:30,109 ms
2024-10-18 20:29:00,33.8 ms
2024-10-18 20:29:30,3.83 ms
2024-10-18 20:30:00,3.83 ms
2024-10-18 20:30:30,7.50 ms
2024-10-18 20:31:00,25.5 ms
2024-10-18 20:31:30,112 ms
2024-10-18 20:32:00,12.5 ms
2024-10-18 20:32:30,46.6 ms
2024-10-18 20:33:00,7 ms
2024-10-18 20:33:30,8.50 ms
2024-10-18 20:34:00,70.5 ms
2024-10-18 20:34:30,72.8 ms
2024-10-18 20:35:00,9.17 ms
2024-10-18 20:35:30,4.17 ms
2024-10-18 20:36:00,2.83 ms
2024-10-18 20:36:30,3.38 ms
2024-10-18 20:37:30,126 ms
2024-10-18 20:38:00,201 ms
2024-10-18 20:38:30,216 ms
2024-10-18 20:39:00,237 ms
2024-10-18 20:39:30,9.17 ms
2024-10-18 20:40:00,5.74 ms
2024-10-18 20:40:30,5.50 ms
2024-10-18 20:41:00,13.2 ms
2024-10-18 20:41:30,54.2 ms
2024-10-18 20:42:00,90.8 ms
2024-10-18 20:42:30,38.5 ms
2024-10-18 20:43:00,88.3 ms
2024-10-18 20:43:30,5.04 ms
2024-10-18 20:44:00,4.67 ms
2024-10-18 20:44:30,3.83 ms
2024-10-18 20:45:00,239 ms
2024-10-18 20:45:30,218 ms
2024-10-18 20:46:00,287 ms
2024-10-18 20:46:30,259 ms
2024-10-18 20:47:00,99.1 ms
2024-10-18 20:47:30,147 ms
2024-10-18 20:48:00,208 ms
2024-10-18 20:48:30,222 ms
2024-10-18 20:49:30,261 ms
2024-10-18 20:50:00,182 ms
2024-10-18 20:50:30,34.8 ms
2024-10-18 20:51:00,129 ms
2024-10-18 20:51:30,15.2 ms
2024-10-18 20:52:00,14 ms
2024-10-18 20:52:30,225 ms
2024-10-18 20:53:00,272 ms
2024-10-18 20:53:30,238 ms
2024-10-18 20:54:00,19.5 ms
2024-10-18 20:54:30,17.5 ms
2024-10-18 20:55:00,15.7 ms
2024-10-18 20:55:30,129 ms
2024-10-18 20:56:00,22.6 ms
2024-10-18 20:56:30,254 ms
2024-10-18 20:57:00,18.3 ms
2024-10-18 20:57:30,36.8 ms
2024-10-18 20:58:00,198 ms
2024-10-18 20:58:30,209 ms
2024-10-18 20:59:00,239 ms
2024-10-18 20:59:30,238 ms
2024-10-18 21:00:00,181 ms
2024-10-18 21:00:30,11 ms
2024-10-18 21:01:00,10.2 ms
2024-10-18 21:01:30,12 ms
2024-10-18 21:02:00,25.8 ms
2024-10-18 21:02:30,41.7 ms
2024-10-18 21:03:00,125 ms
2024-10-18 21:03:30,234 ms
2024-10-18 21:04:00,232 ms
2024-10-18 21:04:30,224 ms
2024-10-18 21:05:00,264 ms
2024-10-18 21:05:30,203 ms
2024-10-18 21:06:00,233 ms
2024-10-18 21:06:30,9 ms
2024-10-18 21:07:00,6.33 ms
2024-10-18 21:07:30,4.17 ms
2024-10-18 21:08:00,4.70 ms
2024-10-18 21:08:30,201 ms
2024-10-18 21:09:00,259 ms
2024-10-18 21:09:30,254 ms
2024-10-18 21:10:00,202 ms
2024-10-18 21:10:30,106 ms
2024-10-18 21:11:00,148 ms
2024-10-18 21:11:30,251 ms
2024-10-18 21:12:00,238 ms
2024-10-18 21:12:30,285 ms
2024-10-18 21:13:00,14.7 ms
2024-10-18 21:13:30,27.2 ms
2024-10-18 21:14:00,8.83 ms
2024-10-18 21:14:30,10.5 ms
2024-10-18 21:15:00,12.2 ms
2024-10-18 21:15:30,169 ms
2024-10-18 21:16:00,70 ms
2024-10-18 21:16:30,4 ms
2024-10-18 21:17:00,6 ms
2024-10-18 21:17:30,125 ms
2024-10-18 21:18:00,3.83 ms
2024-10-18 21:18:30,3.83 ms
2024-10-18 21:19:00,7.17 ms
2024-10-18 21:19:30,6.67 ms
2024-10-18 21:20:00,9.50 ms
2024-10-18 21:20:30,10.2 ms
2024-10-18 21:21:00,200 ms
